Date,isHoliday
20240101,Y
20240106,Y
20240107,Y
20240113,Y
20240114,Y
20240120,Y
20240121,Y
20240127,Y
20240128,Y
20240203,Y
20240204,Y
20240208,Y
20240209,Y
20240210,Y
20240211,Y
20240212,Y
20240213,Y
20240214,Y
20240217,N
20240218,Y
20240224,Y
20240225,Y
20240228,Y
20240302,Y
20240303,Y
20240309,Y
20240310,Y
20240316,Y
20240317,Y
20240323,Y
20240324,Y
20240330,Y
20240331,Y
20240404,Y
20240405,Y
20240406,Y
20240407,Y
20240413,Y
20240414,Y
20240420,Y
20240421,Y
20240427,Y
20240428,Y
20240501,Y
20240504,Y
20240505,Y
20240511,Y
20240512,Y
20240518,Y
20240519,Y
20240525,Y
20240526,Y
20240601,Y
20240602,Y
20240608,Y
20240609,Y
20240610,Y
20240615,Y
20240616,Y
20240622,Y
20240623,Y
20240629,Y
20240630,Y
20240706,Y
20240707,Y
20240713,Y
20240714,Y
20240720,Y
20240721,Y
20240727,Y
20240728,Y
20240803,Y
20240804,Y
20240810,Y
20240811,Y
20240817,Y
20240818,Y
20240824,Y
20240825,Y
20240831,Y
20240901,Y
20240903,Y
20240907,Y
20240908,Y
20240914,Y
20240915,Y
20240917,Y
20240921,Y
20240922,Y
20240928,Y
20240929,Y
20241005,Y
20241006,Y
20241010,Y
20241012,Y
20241013,Y
20241019,Y
20241020,Y
20241026,Y
20241027,Y
20241102,Y
20241103,Y
20241109,Y
20241110,Y
20241116,Y
20241117,Y
20241123,Y
20241124,Y
20241130,Y
20241201,Y
20241207,Y
20241208,Y
20241214,Y
20241215,Y
20241221,Y
20241222,Y
20241228,Y
20241229,Y
20250101,Y
20250104,Y
20250105,Y
20250111,Y
20250112,Y
20250118,Y
20250119,Y
20250125,Y
20250126,Y
20250127,Y
20250128,Y
20250129,Y
20250130,Y
20250131,Y
20250201,Y
20250202,Y
20250208,N
20250209,Y
20250215,Y
20250216,Y
20250222,Y
20250223,Y
20250228,Y
20250301,Y
20250302,Y
20250308,Y
20250309,Y
20250315,Y
20250316,Y
20250322,Y
20250323,Y
20250329,Y
20250330,Y
20250403,Y
20250404,Y
20250405,Y
20250406,Y
20250412,Y
20250413,Y
20250419,Y
20250420,Y
20250426,Y
20250427,Y
20250501,Y
20250503,Y
20250504,Y
20250510,Y
20250511,Y
20250517,Y
20250518,Y
20250524,Y
20250525,Y
20250530,Y
20250531,Y
20250601,Y
20250607,Y
20250608,Y
20250614,Y
20250615,Y
20250621,Y
20250622,Y
20250628,Y
20250629,Y
20250705,Y
20250706,Y
20250712,Y
20250713,Y
20250719,Y
20250720,Y
20250726,Y
20250727,Y
20250802,Y
20250803,Y
20250809,Y
20250810,Y
20250816,Y
20250817,Y
20250823,Y
20250824,Y
20250830,Y
20250831,Y
20250903,Y
20250906,Y
20250907,Y
20250913,Y
20250914,Y
20250920,Y
20250921,Y
20250927,Y
20250928,Y
20251004,Y
20251005,Y
20251006,Y
20251010,Y
20251011,Y
20251012,Y
20251018,Y
20251019,Y
20251025,Y
20251026,Y
20251101,Y
20251102,Y
20251108,Y
20251109,Y
20251115,Y
20251116,Y
20251122,Y
20251123,Y
20251129,Y
20251130,Y
20251206,Y
20251207,Y
20251213,Y
20251214,Y
20251220,Y
20251221,Y
20251227,Y
20251228,Y
